name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Kgokgojane Clinic;CLINIC;North West Province;-26,75117;23,97976;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Kagisano-Molopo Local Municipality;Ganyesa;;Kgokgojane Village
Gustav Lamour Clinic;CLINIC;Eastern Cape Province;-33,815938;25,46398;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Resoviour hills;;Loerie street
Ntlola Clinic;CLINIC;Eastern Cape Province;-30,594405;29,084319;RURAL;Facility Owner - Government - Prov;Alfred Nzo District Municipality;Maluti Health sub-District;Cederville;;
Rensburg Clinic;CLINIC;Gauteng Province;-26,52404;28,37193;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Lesedi Local Municipality;Rensburg;;Cilliers street
Tswelelang 1 Clinic;CLINIC;North West Province;-27,220472;25,984318;RURAL;Facility Owner - Government - Local;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Wolmaranstaad;;
Jack Hindon Clinic;CLINIC;Gauteng Province;-25,66656;28,16902;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;PRETORIA NORTH;;376 JACK HINDON STREET
Bezvalley Clinic;CLINIC;Gauteng Province;-26,186704;28,088153;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg F Health sub-District;Bassonia;;Cnr 6th and 4th Avenue
Unit R Clinic;CLINIC;Limpopo Province;-24,30245;29,53038;URBAN;Facility Owner - Government - Prov;Capricorn District Municipality;Lepelle-Nkumpi Local Municipality;LEBOKWAKGOMO;;KOPANO STREET
Mzintlava Clinic;CLINIC;Eastern Cape Province;-31,40584;29,510428;RURAL;Facility Owner - Government - Prov;Oliver Tambo District Municipality;Nyandeni Health sub-District;BAMBISANA HOSPITAL;;MZINTLAVA A/A
Ratanda Ext 23 Clinic;CLINIC;Gauteng Province;-26,57477;28,32026;URBAN;;Sedibeng District Municipality;Lesedi Local Municipality;Heidelberg;;6461 Gudluza
